Treasure Data,FALSE,,"$5,000,000","$15,000,000","$25,000,000",Tokyo,Series C,51-200,Big Data;Cloud Computing;Data Integration;Cloud Data Services;
Quantopian,FALSE,,"$6,700,000","$15,000,000","$25,000,000",Boston,Series C,11-50,Finance;Trading;Curated Web;Financial Services;
EnglishCentral,FALSE,,"$3,500,000","$7,000,000",,Arlington,Series C,51-200,Education;Emerging Markets;Language Learning;Natural Language Processing;
2C2P,FALSE,Unknown,"$1,000,000","$2,000,000","$7,000,000",Singapore,Series C,11-50,Payments;
Intercom,FALSE,"$1,000,000",,"$23,000,000","$35,000,000",Dublin,Series C,51-200,Social CRM;Customer Service;Marketing Automation;Customer Support Tools;
Work Market,FALSE,,,"$10,000,000","$20,000,000",New York City,Series C,51-200,SaaS;Freelancers;Labor Optimization;Enterprise Software;
Brandwatch,FALSE,,"$1,500,000","$22,000,000","$33,000,000",Brighton,Series C,201-500,Social Media;Customer Service;Enterprise Software;Sales and Marketing;
Updater,FALSE,,"$5,000,000",,,New York City,Series C,11-50,SaaS;Relocation;Real Estate;
Lyst,FALSE,,"$5,000,000","$14,000,000","$40,000,000",London,Series C,51-200,Fashion;E-Commerce;Marketplaces;Comparison Shopping;
General Assembly,FALSE,,"$4,250,000","$10,000,000","$35,000,000",New York City,Series D,201-500,Startups;Education;E-Commerce;
ZooZ,FALSE,"$1,500,000","$2,000,000","$12,000,000","$24,000,000",Earth,Series C,51-200,Freemium;Ecommerce;Mobile Commerce;Mobile Payments;
Kamcord,FALSE,"$2,500,000","$7,100,000","$15,000,000","$10,000,000",San Francisco,Series C,11-50,Mobile;Social Media;Social Network;
Leanplum,FALSE,"$825,000","$4,800,000","$11,600,000","$29,000,000",San Francisco,Series C,11-50,Apps;Mobile;Mobile Analytics;Marketing Automation;
Socrata,FALSE,,,"$18,000,000","$30,000,000",Seattle,Series C,51-200,SaaS;Analytics;Enterprise Software;Cloud Data Services;
Xamarin,FALSE,,,,"$54,000,000",San Francisco,Series C,51-200,Mobile;Developer Tools;
FirstFuel Software,FALSE,"$2,400,000","$10,000,000","$8,500,000","$23,000,000",Lexington,Series C,51-200,Clean Technology;Energy Efficiency;Big Data Analytics;Commercial Real Estate;
Syapse,FALSE,,"$3,000,000","$10,000,000","$25,000,000",Palo Alto,Series C,51-200,Genomics;Bioinformatics;Semantic Search;Health Care Information Technology;
NatureBox,FALSE,"$2,000,000","$8,500,000","$18,000,000","$30,000,000",San Carlos,Series C,51-200,Social Commerce;Food and Beverages;Mass Customization;Subscription Businesses;
Ionic Security,FALSE,,"$9,400,000","$25,500,500","$40,100,000",Atlanta,No Stage,10-1_,SaaS;Enterprise Security;
OpenGov,FALSE,,,"$15,000,000","$25,000,000",Redwood City,Series C,51-200,Governments;
Axial,FALSE,"$2,000,000","$6,500,000","$11,000,000","$14,000,000",New York City,Series C,51-200,SaaS;Marketplaces;Social Network;Trusted Networks;
Arrayent,FALSE,,,"$11,900,000","$15,000,000",Redwood City,Series C,51-200,Software;Connected Devices;Internet of Things;
TraceLink,FALSE,,,,"$51,500,000",Wakefield,Series C,11-50,Life Sciences;Cloud Data Services;Software Compliance;Health Care Information Technology;
